| table_name               | column_name                    | data_type                | is_nullable | column_default                                                                                                                                                                                                                                                          | udt_name    |
| expenses                 | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| expenses                 | user_id                        | uuid                     | NO          | null                                                                                                                                                                                                                                                                    | uuid        |
| expenses                 | date                           | date                     | NO          | null                                                                                                                                                                                                                                                                    | date        |
| expenses                 | amount                         | numeric                  | NO          | null                                                                                                                                                                                                                                                                    | numeric     |
| expenses                 | category                       | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| expenses                 | description                    | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| expenses                 | payment_method                 | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| expenses                 | vehicle_id                     | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| expenses                 | deductible                     | boolean                  | YES         | true                                                                                                                                                                                                                                                                    | bool        |
| expenses                 | receipt_image                  | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| expenses                 | notes                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| expenses                 | load_id                        | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| expenses                 | driver_id                      | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| expenses                 | location                       | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| expenses                 | tax_category                   | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| expenses                 | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| expenses                 | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| fuel_entries             | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| fuel_entries             | user_id                        | uuid                     | NO          | null                                                                                                                                                                                                                                                                    | uuid        |
| fuel_entries             | vehicle_id                     | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| fuel_entries             | driver_id                      | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| fuel_entries             | date                           | date                     | NO          | null                                                                                                                                                                                                                                                                    | date        |
| fuel_entries             | gallons                        | numeric                  | NO          | null                                                                                                                                                                                                                                                                    | numeric     |
| fuel_entries             | price_per_gallon               | numeric                  | NO          | null                                                                                                                                                                                                                                                                    | numeric     |
| fuel_entries             | total_amount                   | numeric                  | NO          | null                                                                                                                                                                                                                                                                    | numeric     |
| fuel_entries             | odometer                       | numeric                  | YES         | null                                                                                                                                                                                                                                                                    | numeric     |
| fuel_entries             | state                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| fuel_entries             | state_name                     | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| fuel_entries             | location                       | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| fuel_entries             | fuel_type                      | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| fuel_entries             | is_complete_fill               | boolean                  | YES         | true                                                                                                                                                                                                                                                                    | bool        |
| fuel_entries             | notes                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| fuel_entries             | receipt_image                  | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| fuel_entries             | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| fuel_entries             | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| fuel_entries             | expense_id                     | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| geography_columns        | f_table_catalog                | name                     | YES         | null                                                                                                                                                                                                                                                                    | name        |
| geography_columns        | f_table_schema                 | name                     | YES         | null                                                                                                                                                                                                                                                                    | name        |
| geography_columns        | f_table_name                   | name                     | YES         | null                                                                                                                                                                                                                                                                    | name        |
| geography_columns        | f_geography_column             | name                     | YES         | null                                                                                                                                                                                                                                                                    | name        |
| geography_columns        | coord_dimension                | integer                  | YES         | null                                                                                                                                                                                                                                                                    | int4        |
| geography_columns        | srid                           | integer                  | YES         | null                                                                                                                                                                                                                                                                    | int4        |
| geography_columns        | type                           | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| geometry_columns         | f_table_catalog                | character varying        | YES         | null                                                                                                                                                                                                                                                                    | varchar     |
| geometry_columns         | f_table_schema                 | name                     | YES         | null                                                                                                                                                                                                                                                                    | name        |
| geometry_columns         | f_table_name                   | name                     | YES         | null                                                                                                                                                                                                                                                                    | name        |
| geometry_columns         | f_geometry_column              | name                     | YES         | null                                                                                                                                                                                                                                                                    | name        |
| geometry_columns         | coord_dimension                | integer                  | YES         | null                                                                                                                                                                                                                                                                    | int4        |
| geometry_columns         | srid                           | integer                  | YES         | null                                                                                                                                                                                                                                                                    | int4        |
| geometry_columns         | type                           | character varying        | YES         | null                                                                                                                                                                                                                                                                    | varchar     |
| ifta_report_details      | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| ifta_report_details      | report_id                      | uuid                     | NO          | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_report_details      | state                          | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| ifta_report_details      | miles                          | numeric                  | YES         | 0                                                                                                                                                                                                                                                                       | numeric     |
| ifta_report_details      | gallons                        | numeric                  | YES         | 0                                                                                                                                                                                                                                                                       | numeric     |
| ifta_report_details      | tax_rate                       | numeric                  | YES         | 0                                                                                                                                                                                                                                                                       | numeric     |
| ifta_report_details      | tax_due                        | numeric                  | YES         | 0                                                                                                                                                                                                                                                                       | numeric     |
| ifta_report_details      | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| ifta_report_details      | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| ifta_reports             | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| ifta_reports             | user_id                        | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_reports             | quarter                        | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| ifta_reports             | year                           | integer                  | NO          | null                                                                                                                                                                                                                                                                    | int4        |
| ifta_reports             | total_miles                    | numeric                  | YES         | null                                                                                                                                                                                                                                                                    | numeric     |
| ifta_reports             | total_gallons                  | numeric                  | YES         | null                                                                                                                                                                                                                                                                    | numeric     |
| ifta_reports             | total_tax                      | numeric                  | YES         | null                                                                                                                                                                                                                                                                    | numeric     |
| ifta_reports             | status                         | text                     | YES         | 'draft'::text                                                                                                                                                                                                                                                           | text        |
| ifta_reports             | submitted_at                   | timestamp with time zone | YES         | null                                                                                                                                                                                                                                                                    | timestamptz |
| ifta_reports             | jurisdiction_data              | jsonb                    | YES         | null                                                                                                                                                                                                                                                                    | jsonb       |
| ifta_reports             | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| ifta_reports             | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| ifta_tax_rates           | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| ifta_tax_rates           | jurisdiction                   | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| ifta_tax_rates           | base_rate                      | numeric                  | NO          | null                                                                                                                                                                                                                                                                    | numeric     |
| ifta_tax_rates           | surcharge                      | numeric                  | YES         | 0                                                                                                                                                                                                                                                                       | numeric     |
| ifta_tax_rates           | total_rate                     | numeric                  | YES         | null                                                                                                                                                                                                                                                                    | numeric     |
| ifta_tax_rates           | effective_date                 | date                     | NO          | null                                                                                                                                                                                                                                                                    | date        |
| ifta_tax_rates           | expiration_date                | date                     | YES         | null                                                                                                                                                                                                                                                                    | date        |
| ifta_tax_rates           | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| ifta_tax_rates           | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| ifta_trip_records        | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| ifta_trip_records        | user_id                        | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trip_records        | quarter                        | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| ifta_trip_records        | start_date                     | date                     | NO          | null                                                                                                                                                                                                                                                                    | date        |
| ifta_trip_records        | end_date                       | date                     | YES         | null                                                                                                                                                                                                                                                                    | date        |
| ifta_trip_records        | vehicle_id                     | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trip_records        | driver_id                      | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trip_records        | load_id                        | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trip_records        | start_jurisdiction             | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| ifta_trip_records        | end_jurisdiction               | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| ifta_trip_records        | total_miles                    | numeric                  | YES         | null                                                                                                                                                                                                                                                                    | numeric     |
| ifta_trip_records        | gallons                        | numeric                  | YES         | null                                                                                                                                                                                                                                                                    | numeric     |
| ifta_trip_records        | fuel_cost                      | numeric                  | YES         | null                                                                                                                                                                                                                                                                    | numeric     |
| ifta_trip_records        | starting_odometer              | numeric                  | YES         | null                                                                                                                                                                                                                                                                    | numeric     |
| ifta_trip_records        | ending_odometer                | numeric                  | YES         | null                                                                                                                                                                                                                                                                    | numeric     |
| ifta_trip_records        | is_fuel_only                   | boolean                  | YES         | false                                                                                                                                                                                                                                                                   | bool        |
| ifta_trip_records        | notes                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| ifta_trip_records        | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| ifta_trip_records        | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| ifta_trip_records        | is_imported                    | boolean                  | YES         | false                                                                                                                                                                                                                                                                   | bool        |
| ifta_trip_records        | mileage_trip_id                | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trip_records        | source                         | character varying        | YES         | NULL::character varying                                                                                                                                                                                                                                                 | varchar     |
| ifta_trip_state_mileage  | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| ifta_trip_state_mileage  | trip_id                        | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trip_state_mileage  | user_id                        | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trip_state_mileage  | jurisdiction                   | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| ifta_trip_state_mileage  | miles                          | numeric                  | NO          | null                                                                                                                                                                                                                                                                    | numeric     |
| ifta_trip_state_mileage  | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| ifta_trip_state_mileage  | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| ifta_trips_with_mileage  | id                             | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trips_with_mileage  | user_id                        | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trips_with_mileage  | quarter                        | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| ifta_trips_with_mileage  | start_date                     | date                     | YES         | null                                                                                                                                                                                                                                                                    | date        |
| ifta_trips_with_mileage  | end_date                       | date                     | YES         | null                                                                                                                                                                                                                                                                    | date        |
| ifta_trips_with_mileage  | vehicle_id                     | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trips_with_mileage  | driver_id                      | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trips_with_mileage  | load_id                        | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| ifta_trips_with_mileage  | start_jurisdiction             | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
